TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
2023-03-29,23,"32,6","26,6",89,8888,0,3,320,1,C 
2023-04-03,24,"29,1","24,7",94,8888,"9,4",3,290,1,SW
2023-04-05,"23,4",32,"26,1",89,8888,0,4,150,1,C 
2023-04-08,"22,8","32,2","25,5",90,8888,"8,3",5,160,2,N 
2023-04-15,24,32,"27,7",87,8888,"1,2",4,250,1,W 
2023-04-17,"23,3","34,2",26,87,8888,"0,1",8,250,2,N 
2023-04-22,"24,3",32,"27,4",88,-,7,3,40,1,C 
2023-04-23,"24,2","33,2",28,84,-,"8,2",6,50,1,C 
2023-05-06,"23,6","32,8","25,8",96,-,9,4,270,1,C 
2023-05-13,"24,2","33,4","26,7",90,-,"7,8",5,250,1,C 
2023-05-21,"23,4","33,4","27,8",84,-,"6,2",4,240,2,N 
2023-05-23,"23,4","32,6","26,3",91,8888,"6,9",4,180,2,S 
2023-05-30,"24,8","31,8","27,3",89,8888,"5,4",3,200,1,C 
2023-06-02,"23,6","33,6","27,6",89,8888,"7,9",4,190,2,S 
