TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,CUACA,Encoding CUACA
2020-07-27,24.8,32.3,27.7,83.0,8.6,4.0,3,50,2,N ,Hujan,1
2020-07-28,24.3,33.2,28.4,80.0,4.3,5.0,4,60,2,N ,Hujan,1
2020-07-29,25.2,33.0,28.0,80.0,0.0,6.3,5,60,3,NE,Cerah,0
2020-07-30,23.8,31.2,27.6,81.0,0.16666666666666666,6.6,3,40,2,N ,Hujan,1
2020-07-31,25.8,30.4,27.4,83.0,0.3333333333333333,0.1,3,10,2,N ,Hujan,1
2020-08-01,24.9,31.1,27.7,81.0,0.5,0.0,3,30,2,N ,Hujan,1
2020-08-02,24.0,29.4,27.0,86.0,1.6666666666666667,1.3,2,30,1,NE,Hujan,1
2020-08-03,24.8,33.0,27.5,84.0,2.8333333333333335,0.5,3,10,2,N ,Hujan,1
2020-08-04,24.2,30.6,27.1,87.0,4.0,1.9,3,110,1,C ,Hujan,1
2020-08-05,25.4,31.8,27.9,84.0,6.65,1.0,4,150,2,E ,Hujan,1
2020-08-06,23.6,32.1,26.7,82.0,9.3,3.4,3,10,2,N ,Hujan,1
2020-08-07,23.6,33.0,28.7,79.0,0.1,3.0,4,90,2,E ,Hujan,1
2020-08-08,25.4,33.0,28.7,79.0,1.8333333333333335,5.4,4,130,2,E ,Hujan,1
2020-08-09,25.2,31.0,27.1,89.0,3.566666666666667,7.2,3,20,1,N ,Hujan,1
2020-08-10,25.0,33.4,28.3,80.0,5.3,0.9,4,200,2,S ,Hujan,1
2020-08-11,24.4,32.4,27.7,77.0,0.0,6.6,5,150,2,SE,Cerah,0
2020-08-12,24.6,33.0,28.3,82.0,1.5,3.7,4,10,2,N ,Hujan,1
2020-08-13,24.8,33.0,27.3,85.0,21.0,3.1,3,350,1,C ,Hujan,1
2020-08-14,23.2,33.4,27.6,82.0,2.0,3.6,4,250,2,C ,Hujan,1
2020-08-15,26.2,30.2,27.0,88.0,3.0,5.8,3,10,1,C ,Hujan,1
2020-08-16,24.4,30.9,26.6,86.0,81.8,0.7,3,350,1,E ,Hujan,1
2020-08-17,23.9,32.4,27.8,81.0,0.8,2.6,4,90,2,NE,Hujan,1
2020-08-18,25.0,32.2,27.1,85.0,0.0,2.95,5,330,2,N ,Cerah,0
2020-08-19,23.8,31.0,26.7,87.0,1.7,3.3,3,70,2,C ,Hujan,1
2020-08-20,25.0,33.2,27.9,83.0,3.8,2.9,4,150,2,SE,Hujan,1
2020-08-21,25.3,32.4,28.0,81.0,2.25,4.6,4,130,2,SE,Hujan,1
2020-08-22,24.8,34.6,28.7,78.0,0.7,5.1,4,150,3,SE,Hujan,1
2020-08-23,25.8,33.5,27.8,83.0,4.1,7.6,4,10,2,NW,Hujan,1
2020-08-24,23.2,32.8,27.1,84.0,7.5,5.3,2,360,1,C ,Hujan,1
2020-08-25,24.8,31.8,27.1,85.0,2.0,4.1,4,150,2,E ,Hujan,1
2020-08-26,25.6,31.3,27.4,84.0,24.0,3.8,3,330,2,N ,Hujan,1
2020-08-27,23.8,32.2,27.0,87.0,46.0,0.6,3,90,1,NW,Hujan,1
2020-08-28,24.0,32.6,26.7,85.0,18.6,3.4,3,20,1,C ,Hujan,1
2020-08-29,24.0,33.0,27.3,87.0,0.4,4.3,3,300,2,NW,Hujan,1
2020-08-30,25.2,33.6,27.3,86.0,17.0,4.5,2,20,1,NW,Hujan,1
2020-08-31,25.0,31.1,27.6,83.0,1.7,4.9,4,90,2,E ,Hujan,1
2020-09-01,24.4,31.4,28.2,80.0,6.5,2.4,3,350,1,NW,Hujan,1
